Feature	Cell Line	RBP	Position	Avg. SHAP
DDX3X_3	K562	DDX3X	3	1.0972215350611034
DDX3X_4	HepG2	DDX3X	4	0.4594515556837303
DDX3X_4	K562	DDX3X	4	0.79347367195812
DDX3X_5	HepG2	DDX3X	5	-1.2013146649371642
DDX3X_5	K562	DDX3X	5	-1.7307191582850066
DDX3X_6	HepG2	DDX3X	6	-0.6443455676279307
DDX3X_6	K562	DDX3X	6	-1.3653550811907873
DDX42_1	K562	DDX42	1	0.0
DDX42_2	K562	DDX42	2	0.0
DDX42_3	K562	DDX42	3	0.0
DDX42_4	K562	DDX42	4	0.022029851543872308
DDX42_5	K562	DDX42	5	-0.031962642487007795
DDX42_6	K562	DDX42	6	0.0
DDX43_1	K562	DDX43	1	-0.1076817959024883
DDX43_2	K562	DDX43	2	-0.09001968929539597
DDX43_3	K562	DDX43	3	0.757184382434417
DDX43_4	K562	DDX43	4	0.7839560887295983
DDX43_5	K562	DDX43	5	-0.06985738708658785
DDX43_6	K562	DDX43	6	-0.13202639524919335
DDX47_1	K562	DDX47	1	0.0
DDX47_2	K562	DDX47	2	-0.08810177762220558
DDX47_3	K562	DDX47	3	-0.14787812903523445
DDX47_4	K562	DDX47	4	0.0
DDX47_5	K562	DDX47	5	0.0
DDX47_6	K562	DDX47	6	
DDX51_1	K562	DDX51	1	0.0893883240071072
DDX51_2	K562	DDX51	2	-0.004326749956297655
DDX51_3	K562	DDX51	3	0.0
DDX51_4	K562	DDX51	4	-0.011638826744263453
DDX51_5	K562	DDX51	5	0.0
DDX51_6	K562	DDX51	6	0.0
DDX52_1	HepG2	DDX52	1	0.0
DDX52_1	K562	DDX52	1	0.005847296290701589
DDX52_2	HepG2	DDX52	2	0.0
DDX52_2	K562	DDX52	2	-0.0073985157230457765
DDX52_3	HepG2	DDX52	3	0.0
DDX52_3	K562	DDX52	3	-0.014780404636295172
DDX52_4	HepG2	DDX52	4	0.0
DDX52_4	K562	DDX52	4	-0.00011082397174041384
DDX52_5	HepG2	DDX52	5	0.0
DDX52_5	K562	DDX52	5	-0.0016938055491440343
DDX52_6	HepG2	DDX52	6	0.0
DDX52_6	K562	DDX52	6	0.001627207266281248
DDX55_1	HepG2	DDX55	1	-0.41224489609400433
DDX55_1	K562	DDX55	1	-0.006588409506631168
DDX55_2	HepG2	DDX55	2	-0.5646834690650508
DDX55_2	K562	DDX55	2	-0.06165783263080175
DDX55_3	HepG2	DDX55	3	0.0
DDX55_3	K562	DDX55	3	-0.0024058627482560126
DDX55_4	HepG2	DDX55	4	0.0
DDX55_4	K562	DDX55	4	0.18664570692988527
DDX55_5	HepG2	DDX55	5	0.23607705042140031
DDX55_5	K562	DDX55	5	-0.028765420526921385
DDX55_6	HepG2	DDX55	6	-0.006238035480530302
DDX55_6	K562	DDX55	6	-0.03465190395017934
DDX59_1	HepG2	DDX59	1	-0.0323174678672008
DDX59_2	HepG2	DDX59	2	-0.0021850879494321627
DDX59_3	HepG2	DDX59	3	-0.0886720284102005
DDX59_4	HepG2	DDX59	4	0.003127069849657643
DDX59_5	HepG2	DDX59	5	0.0
DDX59_6	HepG2	DDX59	6	0.08681063707275637
DDX6_1	HepG2	DDX6	1	0.0
DDX6_1	K562	DDX6	1	-0.01341888805454733
DDX6_2	HepG2	DDX6	2	0.0
DDX6_2	K562	DDX6	2	-5.806368373864418e-05
DDX6_3	HepG2	DDX6	3	-0.5017086684703826
DDX6_3	K562	DDX6	3	0.00029569994011914867
DDX6_4	HepG2	DDX6	4	0.0
DDX6_4	K562	DDX6	4	0.023613762351022756
DDX6_5	HepG2	DDX6	5	0.0
DDX6_5	K562	DDX6	5	0.015675869068370738
DDX6_6	HepG2	DDX6	6	0.0
DDX6_6	K562	DDX6	6	-0.04491560233743337
DGCR8_1	HepG2	DGCR8	1	0.5563788697164805
DGCR8_1	K562	DGCR8	1	-0.013914257098576141
DGCR8_2	HepG2	DGCR8	2	0.06629100111837419
DGCR8_2	K562	DGCR8	2	0.0007251887927804819
DGCR8_3	HepG2	DGCR8	3	-0.6345993252659616
DGCR8_3	K562	DGCR8	3	-0.09001805446762312
DGCR8_4	HepG2	DGCR8	4	-0.006761405742659384
DGCR8_4	K562	DGCR8	4	-0.06657343747930264
DGCR8_5	HepG2	DGCR8	5	0.0
DGCR8_5	K562	DGCR8	5	0.000988945169720247
DGCR8_6	HepG2	DGCR8	6	0.0
DGCR8_6	K562	DGCR8	6	-0.12693079014819475
DHX30_1	HepG2	DHX30	1	0.0
DHX30_1	K562	DHX30	1	0.0024696061083618976
DHX30_2	HepG2	DHX30	2	0.0
DHX30_2	K562	DHX30	2	-0.0021437436511005555
DHX30_3	HepG2	DHX30	3	
DHX30_3	K562	DHX30	3	-0.19924467217562528
DHX30_4	HepG2	DHX30	4	
DHX30_4	K562	DHX30	4	0.0025879671797849283
DHX30_5	HepG2	DHX30	5	
DHX30_5	K562	DHX30	5	-0.05936940429772405
DHX30_6	HepG2	DHX30	6	0.0
DHX30_6	K562	DHX30	6	0.0050407343779473495
DKC1_1	HepG2	DKC1	1	0.0
DKC1_2	HepG2	DKC1	2	0.0
DKC1_3	HepG2	DKC1	3	0.0034317066762643766
DKC1_4	HepG2	DKC1	4	-0.06466959098863423
DKC1_5	HepG2	DKC1	5	-0.035976099147906
DKC1_6	HepG2	DKC1	6	0.0
DROSHA_1	HepG2	DROSHA	1	0.10775908396246867
DROSHA_1	K562	DROSHA	1	-0.001380458308692569
DROSHA_2	HepG2	DROSHA	2	0.0
DROSHA_2	K562	DROSHA	2	-0.028826780324283242
DROSHA_3	HepG2	DROSHA	3	0.023345707105331064
DROSHA_3	K562	DROSHA	3	0.01640942547975278
DROSHA_4	HepG2	DROSHA	4	0.003550574495225841
DROSHA_4	K562	DROSHA	4	-0.030530409990336092
DROSHA_5	HepG2	DROSHA	5	-0.004672626547456365
DROSHA_5	K562	DROSHA	5	-0.3258356719898092
DROSHA_6	HepG2	DROSHA	6	0.0
DROSHA_6	K562	DROSHA	6	-0.005986767822319032
EEF2_1	K562	EEF2	1	0.0
EEF2_2	K562	EEF2	2	0.0
EEF2_3	K562	EEF2	3	0.0
EEF2_4	K562	EEF2	4	0.0
EEF2_5	K562	EEF2	5	0.0
EEF2_6	K562	EEF2	6	0.0
EFTUD2_1	HepG2	EFTUD2	1	0.002917761592583115
EFTUD2_1	K562	EFTUD2	1	0.025368148119454047
EFTUD2_2	HepG2	EFTUD2	2	-0.15988000152748363
EFTUD2_2	K562	EFTUD2	2	-0.11474996175265298
EFTUD2_3	HepG2	EFTUD2	3	-0.05671257376565914
EFTUD2_3	K562	EFTUD2	3	0.02802940935444916
EFTUD2_4	HepG2	EFTUD2	4	0.2847550241990168
EFTUD2_4	K562	EFTUD2	4	0.6225392626491775
EFTUD2_5	HepG2	EFTUD2	5	0.0705240923284672
EFTUD2_5	K562	EFTUD2	5	0.4455827246011364
EFTUD2_6	HepG2	EFTUD2	6	-0.022582159240000246
EFTUD2_6	K562	EFTUD2	6	-0.017740777343080917
EIF3D_1	HepG2	EIF3D	1	0.0
EIF3D_2	HepG2	EIF3D	2	0.0
EIF3D_3	HepG2	EIF3D	3	0.0
EIF3D_4	HepG2	EIF3D	4	0.0
EIF3D_5	HepG2	EIF3D	5	-0.6652326793737815
EIF3D_6	HepG2	EIF3D	6	-0.26711345725301383
EIF3G_1	K562	EIF3G	1	0.004924338831615334
EIF3G_2	K562	EIF3G	2	-0.008811872249376412
EIF3G_3	K562	EIF3G	3	-0.01046767981833045
EIF3G_4	K562	EIF3G	4	0.004415207221871242
EIF3G_5	K562	EIF3G	5	-0.00019871434504837627
EIF3G_6	K562	EIF3G	6	0.0
EIF3H_1	HepG2	EIF3H	1	0.0
EIF3H_2	HepG2	EIF3H	2	-0.036019325026696795
EIF3H_3	HepG2	EIF3H	3	0.05737294942292871
EIF3H_4	HepG2	EIF3H	4	0.13888097903890992
EIF3H_5	HepG2	EIF3H	5	0.0035566084522890597
EIF3H_6	HepG2	EIF3H	6	0.04666225196407938
EIF4E_1	K562	EIF4E	1	-0.189876641351452
EIF4E_2	K562	EIF4E	2	-0.0015376961366859226
EIF4E_3	K562	EIF4E	3	0.011448475131990888
EIF4E_4	K562	EIF4E	4	0.07577347998752944
EIF4E_5	K562	EIF4E	5	-0.2676944943616189
EIF4E_6	K562	EIF4E	6	-0.12826593548700374
EIF4G2_1	K562	EIF4G2	1	-0.00021112301244353258
EIF4G2_2	K562	EIF4G2	2	0.0023184875234331164
EIF4G2_3	K562	EIF4G2	3	-0.005727388968055122
EIF4G2_4	K562	EIF4G2	4	-0.0006926115701031239
EIF4G2_5	K562	EIF4G2	5	-0.09963540887732185
EIF4G2_6	K562	EIF4G2	6	0.0006463629936531236
ELAC2_1	K562	ELAC2	1	-0.030689428921846642
ELAC2_2	K562	ELAC2	2	-0.20239010609110794
ELAC2_3	K562	ELAC2	3	-0.014083334355714452
ELAC2_4	K562	ELAC2	4	-0.09090407351280409
ELAC2_5	K562	ELAC2	5	0.0026219234426059245
ELAC2_6	K562	ELAC2	6	0.013341936131617058
ELAVL1_1	K562	ELAVL1	1	-0.006724043943885046
ELAVL1_2	K562	ELAVL1	2	-0.00019752873926308408
ELAVL1_3	K562	ELAVL1	3	-0.8768898907982176
ELAVL1_4	K562	ELAVL1	4	-0.003554134905094449
ELAVL1_5	K562	ELAVL1	5	-0.31481849982349175
ELAVL1_6	K562	ELAVL1	6	0.056125083303455045
EWSR1_1	K562	EWSR1	1	0.00678987306368111
EWSR1_2	K562	EWSR1	2	-0.006027676589417171
EWSR1_3	K562	EWSR1	3	-0.08085427259145599
EWSR1_4	K562	EWSR1	4	-0.000662114159719456
EWSR1_5	K562	EWSR1	5	0.0008677540955494534
EWSR1_6	K562	EWSR1	6	-0.0053614455854724425
EXOSC10_1	K562	EXOSC10	1	-0.007156952909846067
EXOSC10_2	K562	EXOSC10	2	-0.0027421851766271464
EXOSC10_3	K562	EXOSC10	3	-0.015189613090650015
EXOSC10_4	K562	EXOSC10	4	0.30683862961972297
EXOSC10_5	K562	EXOSC10	5	-0.011337293630723024
EXOSC10_6	K562	EXOSC10	6	-0.11685134057506852
EXOSC5_1	HepG2	EXOSC5	1	0.0
EXOSC5_1	K562	EXOSC5	1	0.0
EXOSC5_2	HepG2	EXOSC5	2	0.0
EXOSC5_2	K562	EXOSC5	2	0.3523573089504506
EXOSC5_3	HepG2	EXOSC5	3	0.0
EXOSC5_3	K562	EXOSC5	3	-0.35792707080642383
EXOSC5_4	HepG2	EXOSC5	4	0.0
EXOSC5_4	K562	EXOSC5	4	-0.7399787139269262
EXOSC5_5	HepG2	EXOSC5	5	0.0
EXOSC5_5	K562	EXOSC5	5	0.078711898624897
EXOSC5_6	HepG2	EXOSC5	6	0.0
EXOSC5_6	K562	EXOSC5	6	0.0
FAM120A_1	HepG2	FAM120A	1	0.004848459626404935
FAM120A_1	K562	FAM120A	1	-0.004194048825929615
FAM120A_2	HepG2	FAM120A	2	-0.060452530458880105
FAM120A_2	K562	FAM120A	2	0.09572368465737607
FAM120A_3	HepG2	FAM120A	3	0.0022668001661456756
FAM120A_3	K562	FAM120A	3	-0.25556642472355684
FAM120A_4	HepG2	FAM120A	4	-0.0031824310450733998
FAM120A_4	K562	FAM120A	4	0.0
FAM120A_5	HepG2	FAM120A	5	-0.013564900116646196
FAM120A_5	K562	FAM120A	5	0.320329876718196
FAM120A_6	HepG2	FAM120A	6	0.0
FAM120A_6	K562	FAM120A	6	-0.017661252383855346
FASTKD2_1	HepG2	FASTKD2	1	0.0
FASTKD2_1	K562	FASTKD2	1	-0.21070153973365235
FASTKD2_2	HepG2	FASTKD2	2	0.019286989201323167
FASTKD2_2	K562	FASTKD2	2	-0.00744763475403296
FASTKD2_3	HepG2	FASTKD2	3	0.0
FASTKD2_3	K562	FASTKD2	3	0.0
FASTKD2_4	HepG2	FASTKD2	4	0.0
FASTKD2_4	K562	FASTKD2	4	-0.031730575209524506
FASTKD2_5	HepG2	FASTKD2	5	0.0
FASTKD2_5	K562	FASTKD2	5	0.002543512297744082
FASTKD2_6	HepG2	FASTKD2	6	0.0
FASTKD2_6	K562	FASTKD2	6	0.0
FKBP4_1	HepG2	FKBP4	1	0.0
FKBP4_2	HepG2	FKBP4	2	-0.11918060544978928
FKBP4_3	HepG2	FKBP4	3	-0.4211916064222654
FKBP4_4	HepG2	FKBP4	4	0.0
FKBP4_5	HepG2	FKBP4	5	0.0
FKBP4_6	HepG2	FKBP4	6	0.0
FMR1_1	K562	FMR1	1	0.05238847355562889
FMR1_2	K562	FMR1	2	0.0011067765470894858
FMR1_3	K562	FMR1	3	0.8738250350241539
FMR1_4	K562	FMR1	4	0.5162689041832219
FMR1_5	K562	FMR1	5	-0.11071673687181699
FMR1_6	K562	FMR1	6	-0.008174210046407478
FTO_1	HepG2	FTO	1	-0.04202384740848168
FTO_1	K562	FTO	1	-0.109102812546221
FTO_2	HepG2	FTO	2	0.0
FTO_2	K562	FTO	2	-0.002068600212230394
FTO_3	HepG2	FTO	3	0.0
FTO_3	K562	FTO	3	0.010122919749993334
FTO_4	HepG2	FTO	4	0.0
FTO_4	K562	FTO	4	0.043117817664774606
FTO_5	HepG2	FTO	5	0.0
FTO_5	K562	FTO	5	-0.38327113558717124
FTO_6	HepG2	FTO	6	0.0
FTO_6	K562	FTO	6	-0.22228200855802316
FUBP3_1	HepG2	FUBP3	1	0.0
FUBP3_2	HepG2	FUBP3	2	0.0
FUBP3_3	HepG2	FUBP3	3	0.0
FUBP3_4	HepG2	FUBP3	4	0.0
FUBP3_5	HepG2	FUBP3	5	0.0
FUBP3_6	HepG2	FUBP3	6	0.14139919632203352
FUS_1	HepG2	FUS	1	0.0
FUS_1	K562	FUS	1	-0.00064863331205132
FUS_2	HepG2	FUS	2	0.0
FUS_2	K562	FUS	2	-0.03014891419643283
FUS_3	HepG2	FUS	3	0.0
FUS_3	K562	FUS	3	-0.01330814479373375
FUS_4	HepG2	FUS	4	-0.14971465370871803
FUS_4	K562	FUS	4	-0.021410103451373865
FUS_5	HepG2	FUS	5	-0.3210249294023045
FUS_5	K562	FUS	5	-0.07171921429728279
FUS_6	HepG2	FUS	6	-0.08773036004192587
FUS_6	K562	FUS	6	0.03507886720258312
FXR1_1	K562	FXR1	1	-0.02217019955482548
FXR1_2	K562	FXR1	2	0.004029249186220291
FXR1_3	K562	FXR1	3	0.9246432183647839
FXR1_4	K562	FXR1	4	1.2414154757758578
FXR1_5	K562	FXR1	5	0.08240604868379732
FXR1_6	K562	FXR1	6	-0.03045835321434679
FXR2_1	HepG2	FXR2	1	-0.0018358140494869927
FXR2_1	K562	FXR2	1	0.004015120989836187
FXR2_2	HepG2	FXR2	2	-0.01915935526541335
FXR2_2	K562	FXR2	2	-0.031573400055817935
FXR2_3	HepG2	FXR2	3	0.4908521256855459
FXR2_3	K562	FXR2	3	0.18610698999750272
FXR2_4	HepG2	FXR2	4	0.593787085151292
FXR2_4	K562	FXR2	4	0.3490275946709118
FXR2_5	HepG2	FXR2	5	-0.0018394652706967146
FXR2_5	K562	FXR2	5	-0.0145593456099355
FXR2_6	HepG2	FXR2	6	-0.004131432820090223
FXR2_6	K562	FXR2	6	-0.05697285771226594
G3BP1_1	HepG2	G3BP1	1	0.006530727280429114
G3BP1_2	HepG2	G3BP1	2	-0.0024624584568881643
G3BP1_3	HepG2	G3BP1	3	1.554102104471703
G3BP1_4	HepG2	G3BP1	4	1.372571260118601
G3BP1_5	HepG2	G3BP1	5	-0.0954791684896828
G3BP1_6	HepG2	G3BP1	6	-0.05486201942978268
GARS_1	K562	GARS	1	-0.016352438991172957
GARS_2	K562	GARS	2	0.012684714902059739
GARS_3	K562	GARS	3	0.0
GARS_4	K562	GARS	4	0.0
GARS_5	K562	GARS	5	0.0
GARS_6	K562	GARS	6	0.0
GEMIN5_1	K562	GEMIN5	1	-0.007130144524284086
GEMIN5_2	K562	GEMIN5	2	-0.024951199186607063
GEMIN5_3	K562	GEMIN5	3	-0.03490934319441637
GEMIN5_4	K562	GEMIN5	4	0.0057340552091434
GEMIN5_5	K562	GEMIN5	5	-0.34704744102795737
GEMIN5_6	K562	GEMIN5	6	-0.03308360025484385
GNL3_1	K562	GNL3	1	
GNL3_2	K562	GNL3	2	
GNL3_3	K562	GNL3	3	0.0
GNL3_4	K562	GNL3	4	
GNL3_5	K562	GNL3	5	0.0
GNL3_6	K562	GNL3	6	0.0
GPKOW_1	K562	GPKOW	1	0.02905409160703542
GPKOW_2	K562	GPKOW	2	-0.3467357138862143
GPKOW_3	K562	GPKOW	3	0.051151383724964125
GPKOW_4	K562	GPKOW	4	0.4446525009184299
GPKOW_5	K562	GPKOW	5	-0.005297017303475741
GPKOW_6	K562	GPKOW	6	-0.12701226567693796
GRSF1_1	HepG2	GRSF1	1	0.07260137840681914
GRSF1_2	HepG2	GRSF1	2	0.0
GRSF1_3	HepG2	GRSF1	3	0.0
GRSF1_4	HepG2	GRSF1	4	0.0
GRSF1_5	HepG2	GRSF1	5	0.0
GRSF1_6	HepG2	GRSF1	6	-0.017430607894517853
GRWD1_1	HepG2	GRWD1	1	-0.1062642277238226
GRWD1_1	K562	GRWD1	1	-0.024775836009346037
GRWD1_2	HepG2	GRWD1	2	-0.08721312593868383
GRWD1_2	K562	GRWD1	2	-0.011241628238359936
GRWD1_3	HepG2	GRWD1	3	1.1111948765265554
GRWD1_3	K562	GRWD1	3	0.7067207735157118
GRWD1_4	HepG2	GRWD1	4	1.0158684864157408
GRWD1_4	K562	GRWD1	4	0.6420099828625888
GRWD1_5	HepG2	GRWD1	5	-0.2744189100205242
GRWD1_5	K562	GRWD1	5	-0.0209008574549572
GRWD1_6	HepG2	GRWD1	6	-0.22068004141978667
GRWD1_6	K562	GRWD1	6	-0.2618911728033281
GTF2F1_1	HepG2	GTF2F1	1	0.09226205413285483
GTF2F1_1	K562	GTF2F1	1	-0.007964598119887572
GTF2F1_2	HepG2	GTF2F1	2	-0.006984811408281988
GTF2F1_2	K562	GTF2F1	2	-0.016372037905453572
GTF2F1_3	HepG2	GTF2F1	3	-0.02071434028872422
GTF2F1_3	K562	GTF2F1	3	-0.025238270132889602
GTF2F1_4	HepG2	GTF2F1	4	-0.09451395151808575
GTF2F1_4	K562	GTF2F1	4	-0.09016833681491547
GTF2F1_5	HepG2	GTF2F1	5	0.016857666007872103
GTF2F1_5	K562	GTF2F1	5	0.003733675506503568
GTF2F1_6	HepG2	GTF2F1	6	0.0
GTF2F1_6	K562	GTF2F1	6	0.01453745495090363
HLTF_1	HepG2	HLTF	1	-0.07487615213740147
HLTF_1	K562	HLTF	1	0.30630759235288274
HLTF_2	HepG2	HLTF	2	0.6256391272961515
HLTF_2	K562	HLTF	2	-0.11945884598090369
HLTF_3	HepG2	HLTF	3	0.0
HLTF_3	K562	HLTF	3	0.0
HLTF_4	HepG2	HLTF	4	-0.1076863109896895
HLTF_4	K562	HLTF	4	0.0
HLTF_5	HepG2	HLTF	5	0.0
HLTF_5	K562	HLTF	5	-0.13279507081184921
HLTF_6	HepG2	HLTF	6	-0.24203701192049482
HLTF_6	K562	HLTF	6	0.0
