,Feature,Cell Line,Significant Events,dPSI Local SHAP Concordance,MCC,True Positives,True Negatives,False Negatives,False Positives
41,TRA2A Position 3,K562,7,71.42857142857143,0.0,5,0,0,2
42,TRA2A Position 6,K562,6,50.0,0.0,0,3,3,0
43,ZC3H11A Position 6,K562,6,50.0,0.31622776601683794,2,1,0,3
44,IGF2BP1 Position 5,K562,6,33.33333333333333,0.0,0,2,4,0
45,IGF2BP1 Position 5,HepG2,6,100.0,0.0,0,6,0,0
46,DDX6 Position 3,K562,5,20.0,0.0,1,0,0,4
47,XRCC6 Position 2,K562,5,40.0,0.0,0,2,0,3
48,ELAVL1 Position 6,K562,5,60.0,0.4082482904638631,2,1,0,2
49,ELAVL1 Position 5,K562,5,20.0,0.0,0,1,4,0
50,ELAVL1 Position 1,K562,5,40.0,0.0,0,2,3,0
51,ELAC2 Position 4,K562,5,40.0,0.0,0,2,3,0
52,FXR2 Position 4,K562,5,0.0,0.0,0,0,0,5
53,FXR2 Position 3,K562,5,20.0,0.0,1,0,0,4
54,DROSHA Position 1,HepG2,5,40.0,0.0,2,0,0,3
55,SRSF7 Position 2,K562,5,80.0,0.0,0,4,1,0
56,FXR2 Position 4,HepG2,4,75.0,0.0,3,0,0,1
57,RBM5 Position 4,HepG2,4,75.0,0.0,0,3,1,0
58,ELAC2 Position 1,K562,4,0.0,0.0,0,0,4,0
59,DDX6 Position 5,K562,4,75.0,0.5773502691896258,2,1,0,1
60,ZC3H11A Position 5,K562,4,50.0,0.0,2,0,0,2
61,EIF4E Position 3,K562,4,0.0,0.0,0,0,0,4
62,EXOSC5 Position 2,K562,3,33.33333333333333,0.0,1,0,0,2
63,IGF2BP1 Position 2,HepG2,3,33.33333333333333,0.0,0,1,2,0
64,DGCR8 Position 4,K562,3,100.0,0.0,0,3,0,0
65,SRSF7 Position 4,K562,3,0.0,0.0,0,0,3,0
66,SRSF7 Position 1,K562,3,0.0,0.0,0,0,3,0
67,SRSF7 Position 4,HepG2,3,100.0,0.0,3,0,0,0
68,TRA2A Position 5,K562,3,66.66666666666666,0.0,2,0,1,0
69,IGF2BP1 Position 4,K562,3,0.0,0.0,0,0,0,3
70,CDC40 Position 6,HepG2,3,66.66666666666666,0.0,0,2,1,0
71,EXOSC10 Position 2,K562,3,0.0,0.0,0,0,0,3
72,ELAC2 Position 5,K562,3,33.33333333333333,0.0,1,0,2,0
73,DDX6 Position 2,K562,3,0.0,-1.0,0,0,2,1
74,ZNF800 Position 5,K562,3,66.66666666666666,0.0,0,2,1,0
75,ELAC2 Position 6,K562,3,100.0,0.0,3,0,0,0
76,XRCC6 Position 5,K562,2,50.0,0.0,0,1,1,0
77,XRCC6 Position 3,K562,2,100.0,0.0,0,2,0,0
78,XRCC6 Position 1,K562,2,0.0,0.0,0,0,0,2
79,AGGF1 Position 5,HepG2,2,0.0,0.0,0,0,0,2
80,RBM5 Position 1,HepG2,2,50.0,0.0,0,1,1,0
81,RNF187 Position 6,K562,2,50.0,0.0,0,1,1,0
82,MORC2 Position 1,K562,2,50.0,0.0,0,1,1,0
83,IGF2BP1 Position 6,HepG2,2,0.0,0.0,0,0,2,0
84,EIF3H Position 4,HepG2,2,50.0,0.0,1,0,0,1
85,DGCR8 Position 5,K562,2,0.0,0.0,0,0,0,2
86,SAFB Position 6,K562,2,100.0,0.0,0,2,0,0
87,EXOSC10 Position 5,K562,2,50.0,0.0,0,1,1,0
88,DGCR8 Position 3,K562,2,100.0,0.0,0,2,0,0
89,IGF2BP1 Position 1,K562,2,50.0,0.0,0,1,1,0
90,EXOSC10 Position 4,K562,2,0.0,0.0,0,0,0,2
91,IGF2BP1 Position 4,HepG2,2,50.0,0.0,1,0,0,1
92,IGF2BP1 Position 2,K562,2,100.0,0.0,0,2,0,0
93,EXOSC10 Position 3,K562,2,100.0,0.0,0,2,0,0
94,ZNF800 Position 6,K562,2,100.0,0.0,0,2,0,0
95,SRSF7 Position 3,K562,2,0.0,0.0,0,0,2,0
96,DROSHA Position 3,HepG2,2,50.0,0.0,1,0,0,1
97,MORC2 Position 2,K562,1,0.0,0.0,0,0,0,1
98,SDAD1 Position 1,HepG2,1,0.0,0.0,0,0,0,1
99,RPS6 Position 5,K562,1,0.0,0.0,0,0,1,0
100,RPS6 Position 6,K562,1,100.0,0.0,0,1,0,0
101,CDC40 Position 1,HepG2,1,100.0,0.0,0,1,0,0
102,ADAT1 Position 6,K562,1,100.0,0.0,1,0,0,0
103,IGF2BP1 Position 3,K562,1,0.0,0.0,0,0,0,1
104,DGCR8 Position 6,K562,1,100.0,0.0,0,1,0,0
105,EIF3H Position 2,HepG2,1,0.0,0.0,0,0,1,0
106,EIF3H Position 3,HepG2,1,0.0,0.0,0,0,0,1
107,EIF3H Position 5,HepG2,1,100.0,0.0,1,0,0,0
108,ZC3H11A Position 6,HepG2,1,0.0,0.0,0,0,1,0
109,DGCR8 Position 1,K562,1,100.0,0.0,0,1,0,0
110,DGCR8 Position 2,K562,1,0.0,0.0,0,0,0,1
111,DDX6 Position 1,K562,1,0.0,0.0,0,0,1,0
112,DDX42 Position 5,K562,1,100.0,0.0,0,1,0,0
113,EXOSC5 Position 4,K562,1,100.0,0.0,0,1,0,0
114,SDAD1 Position 5,HepG2,1,0.0,0.0,0,0,1,0
115,DROSHA Position 5,HepG2,1,0.0,0.0,0,0,1,0
116,FXR2 Position 3,HepG2,1,0.0,0.0,0,0,0,1
117,NOLC1 Position 3,K562,1,0.0,0.0,0,0,0,1
118,ELAC2 Position 3,K562,1,0.0,0.0,0,0,1,0
119,NIPBL Position 4,K562,1,0.0,0.0,0,0,1,0
120,RBM5 Position 3,HepG2,1,0.0,0.0,0,0,0,1
121,EIF4E Position 5,K562,1,100.0,0.0,0,1,0,0
122,EIF4E Position 6,K562,1,100.0,0.0,0,1,0,0
123,ZNF800 Position 2,K562,1,100.0,0.0,0,1,0,0
124,ZNF800 Position 1,K562,1,100.0,0.0,0,1,0,0
